seed,arm,availability,downtime_tower_min,episodes,activated,pre_empted,masked,unresolved,false_dispatches,crew_hours,repairs,mttr_min,cost_tower_min
9,C,98.883,48245,1200,716,447,37,17,3,775.2,508,91.0,84660.0
9,D,98.972,44425,1200,674,490,36,16,0,805.5,509,98.4,82710.0
10,A,98.721,55250,1246,1193,0,53,32,0,784.2,498,94.2,107370.0
10,B,98.719,55340,1246,1193,0,53,32,7,792.0,498,94.2,107615.0
10,C,98.854,49500,1246,726,474,46,31,5,795.2,502,94.1,86845.0
10,D,98.929,46285,1246,690,516,40,27,0,828.5,506,101.5,85320.0
11,A,98.726,55035,1210,1131,0,79,24,0,804.4,512,94.1,101790.0
11,B,98.723,55165,1210,1131,0,79,24,3,810.8,513,94.3,101895.0
11,C,98.857,49370,1210,710,426,74,24,5,810.2,512,94.1,83245.0
11,D,98.936,45965,1210,663,477,70,23,0,846.9,516,102.0,81135.0
12,A,98.724,55120,1226,1165,0,61,24,0,789.5,512,92.1,104850.0
12,B,98.724,55110,1226,1165,0,61,24,3,793.1,512,92.1,104955.0
12,C,98.849,49710,1226,747,425,54,26,2,797.5,515,92.3,86425.0
12,D,98.937,45930,1226,698,477,51,24,0,829.5,516,99.7,84285.0
13,A,98.841,50055,1188,1127,0,61,23,0,691.5,453,91.2,101430.0
13,B,98.841,50055,1188,1127,0,61,23,1,692.8,453,91.2,101465.0
13,C,98.975,44270,1188,684,449,55,23,1,702.1,458,91.4,81800.0
13,D,99.048,41125,1188,653,485,50,21,0,732.0,461,98.7,80595.0
14,A,98.707,55850,1222,1167,0,55,19,0,804.0,516,93.0,105030.0
14,B,98.704,55975,1222,1167,0,55,19,5,811.7,516,93.2,105205.0
14,C,98.826,50710,1222,742,430,50,18,2,811.7,519,93.1,86200.0
14,D,98.904,47355,1222,698,481,43,16,0,851.9,524,100.7,84465.0
15,A,98.743,54295,1218,1151,0,67,27,0,784.8,498,94.0,103590.0
15,B,98.743,54295,1218,1151,0,67,27,4,789.8,498,94.0,103730.0
15,C,98.867,48955,1218,727,429,62,27,3,791.9,500,94.1,84840.0
15,D,98.962,44845,1218,677,483,58,26,0,820.7,500,101.6,82665.0
16,A,98.724,55110,1244,1183,0,61,29,0,782.2,495,94.1,106470.0
16,B,98.724,55110,1244,1183,0,61,29,2,784.7,495,94.1,106540.0
16,C,98.865,49030,1244,719,467,58,26,6,790.5,496,94.1,85935.0
16,D,98.944,45640,1244,692,499,53,25,0,822.9,499,102.1,84735.0
17,A,98.806,51595,1195,1153,0,42,28,0,733.9,479,91.7,103770.0
17,B,98.801,51805,1195,1154,0,41,28,4,741.4,480,91.9,104000.0
17,C,98.935,46000,1195,703,455,37,26,7,750.0,482,92.1,83990.0
17,D,99.023,42205,1195,661,501,33,24,0,771.4,482,99.7,82035.0
18,A,98.662,57815,1300,1232,0,68,30,0,834.1,529,94.1,110880.0
18,B,98.662,57815,1300,1232,0,68,30,5,840.1,529,94.1,111055.0
18,C,98.791,52225,1300,786,454,60,30,6,848.2,533,94.2,91380.0
18,D,98.88,48380,1300,739,506,55,28,0,880.4,537,101.7,89280.0
19,A,98.802,51750,1220,1149,0,71,30,0,733.5,475,91.7,103410.0
19,B,98.802,51775,1220,1149,0,71,30,3,737.3,475,91.8,103515.0
19,C,98.936,45945,1220,702,456,62,29,3,738.5,476,91.7,83805.0
19,D,99.018,42420,1220,666,500,54,26,0,771.5,481,99.2,82440.0
20,A,98.811,51380,1202,1153,0,49,18,0,714.2,468,91.2,103770.0
20,B,98.811,51380,1202,1153,0,49,18,2,716.4,468,91.2,103840.0
20,C,98.954,45205,1202,690,470,42,18,1,716.6,469,91.2,83285.0
20,D,99.036,41625,1202,648,512,42,17,0,746.6,469,98.8,81360.0
21,A,98.744,54245,1203,1136,0,67,17,0,767.2,486,94.4,102240.0
21,B,98.744,54245,1203,1136,0,67,17,4,771.5,486,94.4,102380.0
21,C,98.873,48675,1203,699,444,60,17,4,778.3,489,94.6,83030.0
21,D,98.959,44990,1203,660,485,58,17,0,807.1,490,102.1,81225.0
22,A,98.779,52750,1147,1099,0,48,22,0,763.5,492,93.0,98910.0
22,B,98.779,52750,1147,1099,0,48,22,3,766.7,492,93.0,99015.0
22,C,98.903,47395,1147,689,411,47,20,1,765.7,493,93.0,80540.0
22,D,98.985,43860,1147,644,462,41,18,1,801.2,495,100.8,78785.0
23,A,98.752,53895,1222,1158,0,64,25,0,762.8,485,93.7,104220.0
23,B,98.752,53920,1222,1158,0,64,25,4,767.5,485,93.7,104360.0
23,C,98.887,48070,1222,713,452,57,22,3,769.4,487,93.7,84615.0
23,D,98.966,44685,1222,674,498,50,23,0,803.2,489,101.3,83070.0
24,A,98.748,54065,1190,1128,0,62,25,0,787.8,507,93.2,101520.0
24,B,98.748,54065,1190,1128,0,62,25,7,795.2,507,93.2,101765.0
24,C,98.865,49035,1190,732,410,48,25,8,803.6,510,93.5,84610.0
24,D,98.943,45645,1190,698,445,47,25,0,828.4,512,100.6,82845.0
25,A,98.673,57335,1273,1214,0,59,32,0,832.7,536,92.9,109260.0
25,B,98.671,57425,1273,1214,0,59,32,5,839.1,536,93.0,109435.0
25,C,98.821,50935,1273,740,484,49,33,6,840.4,536,93.1,88590.0
25,D,98.899,47565,1273,700,527,46,31,0,876.2,538,101.0,86715.0
26,A,98.834,50390,1172,1103,0,69,23,0,714.1,465,92.0,99270.0
26,B,98.833,50415,1172,1103,0,69,23,5,720.1,465,92.1,99445.0
26,C,98.968,44580,1172,665,443,64,23,2,720.1,468,91.9,79855.0
26,D,99.039,41500,1172,632,483,57,22,0,754.8,472,99.4,78615.0
27,A,98.793,52135,1204,1137,0,67,19,0,738.7,483,91.6,102330.0
27,B,98.792,52185,1204,1137,0,67,19,6,746.2,483,91.6,102540.0
27,C,98.917,46785,1204,703,441,60,19,4,746.2,485,91.6,83255.0
27,D,98.998,43305,1204,665,485,54,18,0,779.8,490,98.9,81675.0
28,A,98.705,55940,1223,1158,0,65,17,0,806.4,518,93.2,104220.0
28,B,98.705,55940,1223,1158,0,65,17,5,812.1,518,93.2,104395.0
28,C,98.825,50765,1223,728,438,57,18,2,820.5,524,93.4,85300.0
28,D,98.908,47155,1223,690,481,52,17,0,858.4,526,101.5,83745.0
29,A,98.703,56035,1261,1204,0,57,22,0,810.2,525,92.4,108360.0
29,B,98.703,56035,1261,1204,0,57,22,5,816.0,525,92.4,108535.0
29,C,98.839,50170,1261,735,475,51,21,3,817.3,528,92.3,87630.0
29,D,98.923,46540,1261,698,513,50,21,0,851.3,529,100.0,85905.0
30,A,98.702,56060,1249,1186,0,63,20,0,806.7,515,93.8,106740.0
30,B,98.702,56060,1249,1186,0,63,20,2,809.0,515,93.8,106810.0
30,C,98.839,50160,1249,732,464,53,21,3,813.1,517,93.8,86865.0
30,D,98.916,46810,1249,696,503,50,18,0,844.7,518,101.2,85275.0
